id,var_name,label,format,Dashboard,type,label_yes,dropdown,Filter,Name dropdown,Description
081,female_tch_ratio_std7,number of female teachers in standard 7 / number of teachers in standard 7,%9.0g,TRUE,continous,,TRUE,,,
082,female_tch_ratio_std8,number of female teachers in standard 8 / number of teachers in standard 8,%9.0g,TRUE,continous,,TRUE,,,
083,female_tch_ratio_upper,number of female teachers in std 5 to std 8 / number of teachers in std 5 to std,%9.0g,TRUE,continous,,TRUE,,,
084,female_tch_ratio_lower,number of female teachers in std 1 to std 4 / number of teachers in std 1 to std,%9.0g,TRUE,continous,,TRUE,,,
085,female_tch_ratio_tot,total number of female teachers / total number of teachers,%9.0g,TRUE,continous,,TRUE,,,
086,enrol_PTR_std1,enrolment in std1 / number of teachers in std1,%9.0g,TRUE,continous,,TRUE,,,
087,enrol_PTR_std1_f,female enrolment in std1 / number of female teachers in std1,%9.0g,TRUE,continous,,TRUE,,,
088,enrol_PTR_std2,enrolment in std2 / number of teachers in std2,%9.0g,TRUE,continous,,TRUE,,,
089,enrol_PTR_std2_f,female enrolment in std2 / number of female teachers in std2,%9.0g,TRUE,continous,,TRUE,,,
090,enrol_PTR_std3,enrolment in std3 / number of teachers in std3,%9.0g,TRUE,continous,,TRUE,,,
091,enrol_PTR_std3_f,female enrolment in std1 / number of female teachers in std3,%9.0g,TRUE,continous,,TRUE,,,
092,enrol_PTR_std4,enrolment in std4 / number of teachers in std4,%9.0g,TRUE,continous,,TRUE,,,
093,enrol_PTR_std4_f,female enrolment in std4 / number of female teachers in std4,%9.0g,TRUE,continous,,TRUE,,,
094,enrol_PTR_std5,enrolment in std5 / number of teachers in std5,%9.0g,TRUE,continous,,TRUE,,,
095,enrol_PTR_std5_f,female enrolment in std5 / number of female teachers in std5,%9.0g,TRUE,continous,,TRUE,,,
096,enrol_PTR_std6,enrolment in std6 / number of teachers in std6,%9.0g,TRUE,continous,,TRUE,,,
097,enrol_PTR_std6_f,female enrolment in std6 / number of female teachers in std6,%9.0g,TRUE,continous,,TRUE,,,
098,enrol_PTR_std7,enrolment in std7 / number of teachers in std7,%9.0g,TRUE,continous,,TRUE,,,
099,enrol_PTR_std7_f,female enrolment in std7 / number of female teachers in std7,%9.0g,TRUE,continous,,TRUE,,,
100,enrol_PTR_std8,enrolment in std8 / number of teachers in std8,%9.0g,TRUE,continous,,TRUE,,,
101,enrol_PTR_std8_f,female enrolment in std8 / number of female teachers in std8,%9.0g,TRUE,continous,,TRUE,,,
102,enrol_PTR_tot,Overall Pupil-Teacher Ratio,%9.0g,TRUE,continous,,TRUE,,,
103,enrol_PTR_tot_f,total female enrolment / total number of female teachers,%9.0g,TRUE,continous,,TRUE,,,
104,enrol_PTR_tot_lower,Lower Primary Pupil-Teacher Ratio,%9.0g,TRUE,continous,,TRUE,,,
105,enrol_PTR_tot_upper,total upper class (std5-std8) enrolment / total number of teachers in upper clas,%9.0g,TRUE,continous,,TRUE,,,
106,enrol_PTR_tot_lower_f,total lower class (std1-std4) female enrolment / total number of female teachers,%9.0g,TRUE,continous,,TRUE,,,
107,enrol_PTR_tot_upper_f,total upper class (std5-std8) female enrolment / total number of female teachers,%9.0g,TRUE,continous,,TRUE,,,
108,enrol_PQTR_std1,enrolment in std1 / number of qualified teachers in std1,%9.0g,TRUE,continous,,TRUE,,,
109,enrol_PQTR_std2,enrolment in std2 / number of qualified teachers in std2,%9.0g,TRUE,continous,,TRUE,,,
110,enrol_PQTR_std3,enrolment in std3 / number of qualified teachers in std3,%9.0g,TRUE,continous,,TRUE,,,
111,enrol_PQTR_std4,enrolment in std4 / number of qualified teachers in std4,%9.0g,TRUE,continous,,TRUE,,,
112,enrol_PQTR_std5,enrolment in std5 / number of qualified teachers in std5,%9.0g,TRUE,continous,,TRUE,,,
113,enrol_PQTR_std6,enrolment in std6 / number of qualified teachers in std6,%9.0g,TRUE,continous,,TRUE,,,
114,enrol_PQTR_std7,enrolment in std7 / number of qualified teachers in std7,%9.0g,TRUE,continous,,TRUE,,,
115,enrol_PQTR_std8,enrolment in std8 / number of qualified teachers in std8,%9.0g,TRUE,continous,,TRUE,,,
116,enrol_PQTR_tot,total enrolment / total number of qualified teachers,%9.0g,TRUE,continous,,TRUE,,,
117,enrol_PQTR_tot_lower,total lower class (std1-std4) enrolment / total number of qualified teachers in,%9.0g,TRUE,continous,,TRUE,,,
118,enrol_PQTR_tot_upper,total upper class (std5-std8) enrolment / total number of qualified teachers in,%9.0g,TRUE,continous,,TRUE,,,
119,PT4_share,(mean) PT4,%9.0g,TRUE,continous,,TRUE,,,
120,tenure_sch,average teacher school tenure (using ht1 roster),%9.0g,TRUE,continous,,TRUE,,,
121,above_high_qualification,share of above MSCE qualification teachers (using ht1 roster),%9.0g,TRUE,continous,,TRUE,,,
122,tenure,teacher experience in the education sector,%9.0g,TRUE,continous,,TRUE,,,
123,abs_rate_tot,Absence Rate Total (HC),%9.0g,TRUE,continous,,TRUE,,,
124,abs_rate_std1,Absence Rate in std 1 (HC),%9.0g,TRUE,continous,,TRUE,,,
125,abs_rate_std2,Absence Rate in std 2 (HC),%9.0g,TRUE,continous,,TRUE,,,
126,abs_rate_std3,Absence Rate in std 3 (HC),%9.0g,TRUE,continous,,TRUE,,,
127,abs_rate_std4,Absence Rate in std 4 (HC),%9.0g,TRUE,continous,,TRUE,,,
128,abs_rate_std5,Absence Rate in std 5 (HC),%9.0g,TRUE,continous,,TRUE,,,
129,abs_rate_std6,Absence Rate in std 6 (HC),%9.0g,TRUE,continous,,TRUE,,,
130,abs_rate_std7,Absence Rate in std 7 (HC),%9.0g,TRUE,continous,,TRUE,,,
131,electricity_yes,School has electricity (y or n),%9.0g,TRUE,binary,has electricity,TRUE,,,
132,num_water_points,Number of Water Points,%9.0g,TRUE,continous,,TRUE,,,
133,quality_water,quality of drinking water spots,%9.0g,TRUE,continous,,TRUE,,,
134,electricity_yes_sfo,Electricity,%9.0g,TRUE,binary,has electricity,TRUE,,,
135,enrol_pupil_toilet_ratio_tot,total pupil enrolment / total number of functional toilets for boys and girls,%9.0g,TRUE,continous,,TRUE,,,
136,enrol_num_func_toilet_per_stu,total number of functional toilets for boys and girls / total pupil enrolment,%9.0g,TRUE,continous,,TRUE,,,
137,enrol_pupil_toilet_ratio_girl,total female enrolment / number of toilets for girls available,%9.0g,TRUE,continous,,TRUE,,,
138,enrol_pupil_toilet_ratio_boy,total male enrolment / number of toilets for boys available,%9.0g,TRUE,continous,,TRUE,,,
139,electricity,electricity line to the school (y or n),%9.0g,TRUE,binary,has electricity line,TRUE,,,
140,num_drink_water_spots,,%9.0g,TRUE,continous,,TRUE,,,
141,block_condi_complete_bad,school blocks need to be completely rebuilt,%9.0g,TRUE,continous,,TRUE,,,
142,block_condi_part_major,school block' major parts need to be reparied,%9.0g,TRUE,continous,,TRUE,,,
143,block_condi_part_minor,school block' minor parts need to be reparied,%9.0g,TRUE,continous,,TRUE,,,
144,block_condi_good,school block is in a good condition,%9.0g,TRUE,continous,,TRUE,,,
145,tch_house_available,school has teacher housing (based on SFO),%9.0g,TRUE,continous,,TRUE,,,
146,office_yes,school has ht/dht/teacher/offices (y or n),%9.0g,TRUE,binary,has ht/dht/teacher offices,TRUE,,,
147,staff_room_yes,school has staff rooms (y or n),%9.0g,TRUE,binary,has staff room,TRUE,,,
148,lib_yes,school has library rooms (y or n),%9.0g,TRUE,binary,has library room,TRUE,,,
150,storage_room_yes,school has storage rooms  (y or n),%9.0g,TRUE,binary,has storage room,TRUE,,,
151,wall_yes,(mean) wall_yes,%9.0g,TRUE,continous,,TRUE,,,
152,wall_fine,(mean) wall_fine,%9.0g,TRUE,continous,,TRUE,,,
153,wall_paint,(mean) wall_paint,%9.0g,TRUE,continous,,TRUE,,,
154,display_on_wall,(mean) display_on_wall,%9.0g,TRUE,continous,,TRUE,,,
155,instr_on_wall,(mean) instr_on_wall,%9.0g,TRUE,continous,,TRUE,,,
156,LM_share,(mean) LM_share,%9.0g,TRUE,continous,,TRUE,,,
157,chair_share,(mean) chair_share,%9.0g,TRUE,continous,,TRUE,,,
158,uniform_share,(mean) uniform_share,%9.0g,TRUE,continous,,TRUE,,,
159,permanent_class_share,(mean) permanent_class_share,%9.0g,TRUE,continous,,TRUE,,,
160,temporary_class_share,(mean) temporary_class_share,%9.0g,TRUE,continous,,TRUE,,,
161,open_air_class_share,(mean) open_air_class_share,%9.0g,TRUE,continous,,TRUE,,,
162,tch_present_clas,Teacher Present in class,%9.0g,TRUE,continous,,TRUE,,,
163,tch_present_tch,Teacher Present & teaching,%9.0g,TRUE,continous,,TRUE,,,
164,PCR_std1,,%9.0g,TRUE,continous,,TRUE,,,
165,PCR_std2,,%9.0g,TRUE,continous,,TRUE,,,
166,PCR_std3,,%9.0g,TRUE,continous,,TRUE,,,
167,PCR_std4,,%9.0g,TRUE,continous,,TRUE,,,
168,PCR_std5,,%9.0g,TRUE,continous,,TRUE,,,
169,PCR_std6,,%9.0g,TRUE,continous,,TRUE,,,
170,PCR_std7,,%9.0g,TRUE,continous,,TRUE,,,
171,PCR_std8,,%9.0g,TRUE,continous,,TRUE,,,
172,PCR_tot,Overall Pupil-Classroom Ratio,%9.0g,TRUE,continous,,TRUE,,,
173,PCR_lower,Lower Primary Pupil-Classroom Ratio,%9.0g,TRUE,continous,,TRUE,,,
174,PCR_upper,,%9.0g,TRUE,continous,,TRUE,,,
175,class_size_lower,Class size lower (enrol approach),%9.0g,TRUE,continous,,TRUE,,,
176,class_size_upper_57,class size upper (enrol approach),%9.0g,TRUE,continous,,TRUE,,,
177,hc_class_size_std1,Class size std 1 (HC approach),%9.0g,TRUE,continous,,TRUE,,,
178,hc_class_size_std2,Class size std 2 (HC approach),%9.0g,TRUE,continous,,TRUE,,,
179,hc_class_size_std3,Class size std 3 (HC approach),%9.0g,TRUE,continous,,TRUE,,,
180,hc_class_size_std4,Class size std 4 (HC approach),%9.0g,TRUE,continous,,TRUE,,,
181,hc_class_size_std5,Class size std 5 (HC approach),%9.0g,TRUE,continous,,TRUE,,,
182,hc_class_size_std6,Class size std 6 (HC approach),%9.0g,TRUE,continous,,TRUE,,,
183,hc_class_size_std7,Class size std 7 (HC approach),%9.0g,TRUE,continous,,TRUE,,,
184,hc_class_size_tot,Class size std total (HC approach),%9.0g,TRUE,continous,,TRUE,,,
185,hc_PTR_std1,PTR std 1 (HC),%9.0g,TRUE,continous,,TRUE,,,
186,hc_PTR_std2,PTR std 2 (HC),%9.0g,TRUE,continous,,TRUE,,,
187,hc_PTR_std3,PTR std 3 (HC),%9.0g,TRUE,continous,,TRUE,,,
188,hc_PTR_std4,PTR std 4 (HC),%9.0g,TRUE,continous,,TRUE,,,
189,hc_PTR_std5,PTR std 5 (HC),%9.0g,TRUE,continous,,TRUE,,,
190,hc_PTR_std6,PTR std 6 (HC),%9.0g,TRUE,continous,,TRUE,,,
191,hc_PTR_std7,PTR std 7 (HC),%9.0g,TRUE,continous,,TRUE,,,
192,hc_PTR_tot,PTR total (HC),%9.0g,TRUE,continous,,TRUE,,,
193,rr_std1,Repetition rate std 1,%9.0g,TRUE,continous,,TRUE,,,
194,rr_std1_f,Female repetition rate std 1,%9.0g,TRUE,continous,,TRUE,,,
195,rr_std1_m,Male repetition rate std 1,%9.0g,TRUE,continous,,TRUE,,,
196,rr_std2,Repetition rate std 2,%9.0g,TRUE,continous,,TRUE,,,
197,rr_std2_f,Female repetition rate std 2,%9.0g,TRUE,continous,,TRUE,,,
198,rr_std2_m,Male repetition rate std 2,%9.0g,TRUE,continous,,TRUE,,,
199,rr_std3,Repetition rate std 3,%9.0g,TRUE,continous,,TRUE,,,
200,rr_std3_f,Female repetition rate std 3,%9.0g,TRUE,continous,,TRUE,,,
201,rr_std3_m,Male repetition rate std 3,%9.0g,TRUE,continous,,TRUE,,,
202,rr_std4,Repetition rate std 4,%9.0g,TRUE,continous,,TRUE,,,
203,rr_std4_f,Female repetition rate std 4,%9.0g,TRUE,continous,,TRUE,,,
204,rr_std4_m,Male repetition rate std 4,%9.0g,TRUE,continous,,TRUE,,,
205,rr_std5,Repetition rate std 5,%9.0g,TRUE,continous,,TRUE,,,
206,rr_std5_f,Female repetition rate std 5,%9.0g,TRUE,continous,,TRUE,,,
207,rr_std5_m,Male repetition rate std 5,%9.0g,TRUE,continous,,TRUE,,,
208,rr_std6,Repetition rate std 6,%9.0g,TRUE,continous,,TRUE,,,
209,rr_std6_f,Female repetition rate std 6,%9.0g,TRUE,continous,,TRUE,,,
210,rr_std6_m,Male repetition rate std 6,%9.0g,TRUE,continous,,TRUE,,,
211,rr_std7,Repetition rate std 7,%9.0g,TRUE,continous,,TRUE,,,
212,rr_std7_f,Female repetition rate std 7,%9.0g,TRUE,continous,,TRUE,,,
213,rr_std7_m,Male repetition rate std 7,%9.0g,TRUE,continous,,TRUE,,,
214,rr_std8,Repetition rate std 8,%9.0g,TRUE,continous,,TRUE,,,
215,rr_std8_f,Female repetition rate std 8,%9.0g,TRUE,continous,,TRUE,,,
216,rr_std8_m,Male repetition rate std 8,%9.0g,TRUE,continous,,TRUE,,,
217,rr_tot,Repetition rate total,%9.0g,TRUE,continous,,TRUE,,,
218,rr_lower_pri,Lower Primary Repetition Rate,%9.0g,TRUE,continous,,TRUE,,,
219,rr_upper_pri,Upper Primary Repetition Rate,%9.0g,TRUE,continous,,TRUE,,,
220,rr_tot_f,Female repetition rate total,%9.0g,TRUE,continous,,TRUE,,,
221,rr_lower_pri_f,Female repetition rate lower,%9.0g,TRUE,continous,,TRUE,,,
222,rr_upper_pri_f,Female repetition rate upper,%9.0g,TRUE,continous,,TRUE,,,
223,rr_tot_m,Male repetition rate total,%9.0g,TRUE,continous,,TRUE,,,
224,rr_lower_pri_m,Male repetition rate lower,%9.0g,TRUE,continous,,TRUE,,,
225,rr_upper_pri_m,Male repetition rate upper,%9.0g,TRUE,continous,,TRUE,,,
226,dr_std1,Dropout rate std 1,%9.0g,TRUE,continous,,TRUE,,,
227,dr_std1_f,Female dropout rate std 1,%9.0g,TRUE,continous,,TRUE,,,
228,dr_std1_m,Male dropout rate std 1,%9.0g,TRUE,continous,,TRUE,,,
229,dr_std2,Dropout rate std 2,%9.0g,TRUE,continous,,TRUE,,,
230,dr_std2_f,Female dropout rate std 2,%9.0g,TRUE,continous,,TRUE,,,
231,dr_std2_m,Male dropout rate std 2,%9.0g,TRUE,continous,,TRUE,,,
232,dr_std3,Dropout rate std 3,%9.0g,TRUE,continous,,TRUE,,,
233,dr_std3_f,Female dropout rate std 3,%9.0g,TRUE,continous,,TRUE,,,
234,dr_std3_m,Male dropout rate std 3,%9.0g,TRUE,continous,,TRUE,,,
235,dr_std4,Dropout rate std 4,%9.0g,TRUE,continous,,TRUE,,,
236,dr_std4_f,Female dropout rate std 4,%9.0g,TRUE,continous,,TRUE,,,
237,dr_std4_m,Male dropout rate std 4,%9.0g,TRUE,continous,,TRUE,,,
238,dr_std5,Dropout rate std 5,%9.0g,TRUE,continous,,TRUE,,,
239,dr_std5_f,Female dropout rate std 5,%9.0g,TRUE,continous,,TRUE,,,
240,dr_std5_m,Male dropout rate std 5,%9.0g,TRUE,continous,,TRUE,,,
241,dr_std6,Dropout rate std 6,%9.0g,TRUE,continous,,TRUE,,,
242,dr_std6_f,Female dropout rate std 6,%9.0g,TRUE,continous,,TRUE,,,
243,dr_std6_m,Male dropout rate std 6,%9.0g,TRUE,continous,,TRUE,,,
244,dr_std7,Dropout rate std 7,%9.0g,TRUE,continous,,TRUE,,,
245,dr_std7_f,Female dropout rate std 7,%9.0g,TRUE,continous,,TRUE,,,
246,dr_std7_m,Male dropout rate std 7,%9.0g,TRUE,continous,,TRUE,,,
247,dr_std8,Dropout rate std 8,%9.0g,TRUE,continous,,TRUE,,,
248,dr_std8_f,Female dropout rate std 8,%9.0g,TRUE,continous,,TRUE,,,
249,dr_std8_m,Male dropout rate std 8,%9.0g,TRUE,continous,,TRUE,,,
250,dr_tot,Dropout rate total,%9.0g,TRUE,continous,,TRUE,,,
251,dr_lower_pri,Lower Primary Dropout Rate,%9.0g,TRUE,continous,,TRUE,,,
252,dr_upper_pri,Upper Primary Dropout Rate,%9.0g,TRUE,continous,,TRUE,,,
253,dr_tot_f,Female dropout rate total,%9.0g,TRUE,continous,,TRUE,,,
254,dr_lower_pri_f,Female dropout rate lower,%9.0g,TRUE,continous,,TRUE,,,
255,dr_upper_pri_f,Female dropout rate upper,%9.0g,TRUE,continous,,TRUE,,,
256,dr_tot_m,Male dropout rate total,%9.0g,TRUE,continous,,TRUE,,,
257,dr_lower_pri_m,Male dropout rate lower,%9.0g,TRUE,continous,,TRUE,,,
258,dr_upper_pri_m,Male dropout rate upper,%9.0g,TRUE,continous,,TRUE,,,
259,abs_rate_std1_dov,Absence rate std 1 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
260,abs_rate_std1_f_dov,Female absence rate std 1 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
261,abs_rate_std1_m_dov,Male absence rate std 1 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
262,abs_rate_std2_dov,Absence rate std 2 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
263,abs_rate_std2_f_dov,Female absence rate std 2 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
264,abs_rate_std2_m_dov,Male absence rate std 2 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
265,abs_rate_std3_dov,Absence rate std 3 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
266,abs_rate_std3_f_dov,Female absence rate std 3 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
267,abs_rate_std3_m_dov,Male absence rate std 3 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
268,abs_rate_std4_dov,Absence rate std 4 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
269,abs_rate_std4_f_dov,Female absence rate std 4 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
270,abs_rate_std4_m_dov,Male absence rate std 4 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
271,abs_rate_std5_dov,Absence rate std 5 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
272,abs_rate_std5_f_dov,Female absence rate std 5 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
273,abs_rate_std5_m_dov,Male absence rate std 5 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
274,abs_rate_std6_dov,Absence rate std 6 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
275,abs_rate_std6_f_dov,Female absence rate std 6 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
276,abs_rate_std6_m_dov,Male absence rate std 6 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
277,abs_rate_std7_dov,Absence rate std 7 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
278,abs_rate_std7_f_dov,Female absence rate std 7 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
279,abs_rate_std7_m_dov,Male absence rate std 7 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
280,abs_rate_std8_dov,Absence rate std 8 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
281,abs_rate_std8_f_dov,Female absence rate std 8 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
282,abs_rate_std8_m_dov,Male absence rate std 8 (day of visit),%9.0g,TRUE,continous,,TRUE,,,
283,abs_rate_tot_dov,Absence rate total (day of visit),%9.0g,TRUE,continous,,TRUE,,,
284,abs_rate_tot_f_dov,Female absence rate total (day of visit),%9.0g,TRUE,continous,,TRUE,,,
285,abs_rate_tot_m_dov,Male absence rate total (day of visit),%9.0g,TRUE,continous,,TRUE,,,
286,abs_rate_upper_dov,Absence rate upper (day of visit),%9.0g,TRUE,continous,,TRUE,,,
287,abs_rate_lower_dov,Absence rate upper (day of visit),%9.0g,TRUE,continous,,TRUE,,,
288,abs_rate_upper_f_dov,Female absence rate upper (day of visit),%9.0g,TRUE,continous,,TRUE,,,
289,abs_rate_upper_m_dov,Male absence rate upper (day of visit),%9.0g,TRUE,continous,,TRUE,,,
290,abs_rate_lower_f_dov,Female absence rate lower (day of visit),%9.0g,TRUE,continous,,TRUE,,,
291,abs_rate_lower_m_dov,Male absence rate lower (day of visit),%9.0g,TRUE,continous,,TRUE,,,
292,English_klg_score,(mean) English_klg_score,%9.0g,TRUE,continous,,TRUE,,,
293,Math_klg_score,(mean) Math_klg_score,%9.0g,TRUE,continous,,TRUE,,,
