var_name,label,format,For_Dashboard,Filter
q53,"53. Last week, were you absent from school on all days?",%8.0g,TRUE,
q54a,54. During the last school week did your - teacher give you a written test? (a.,%8.0g,,
q54b,54. During the last school week did your - teacher give you a written test? (b.,%8.0g,,
q54c,54. During the last school week did your - teacher give you a written test? (c.,%8.0g,,
q55a,55. During the last school week did your - teacher give you homework? (a. Engli,%8.0g,,
q55b,55. During the last school week did your - teacher give you homework? (b. Math),%8.0g,,
q55c,55. During the last school week did your - teacher give you homework? (c. Chich,%8.0g,,
q56a,56. Did your-  teacher end class early on some days last week? (a. English),%8.0g,,
q56b,56. Did your-  teacher end class early on some days last week? (b. Math),%8.0g,,
q56c,56. Did your-  teacher end class early on some days last week? (c. Chichewa),%8.0g,,
q57a,57. How many days last week was your - teacher absent from school?  (a. English,%8.0g,,
q57b,57. How many days last week was your - teacher absent from school?  (b. Math),%8.0g,,
q57c,57. How many days last week was your - teacher absent from school?  (c. Chichew,%8.0g,,
q58,58. In your opinion how are you performing in school tests compared to other st,%15.0g,,
q59a,59. If you are given 100-___ questions from the topics in the textbook that you,%8.0g,,
q59b,59. If you are given 100-___ questions from the topics in the textbook that you,%8.0g,,
q59c,59. If you are given 100-___ questions from the topics in the textbook that you,%8.0g,,
q59_m_a,59_m_a. I finish whatever I begin.),%8.0g,,
q59_m_b,"59_m_b. I do the right thing, even if others do not like it.)",%8.0g,,
q59_m_c,59_m_c.�I often stay mad at people even when they apologize.),%8.0g,,
q59_m_d,59_m_d. If I get good grades at school it will not make a difference in which j,%8.0g,,
qsec2_comments,Interviewer comments for this section,%271s,,
q60a,60a.What is the name of your English teacher,%30s,,
q60b,60b.What is the name of your Maths teacher?,%30s,,
q60c,60c.What is the name of your Chichewa teacher?,%31s,,
q61a,61a.Teacher ID - English Teacher,%12.0g,,
q61b,61b.Teacher ID - Maths Teacher,%8.0g,,
q61c,61c.Teacher ID - Chichewa Teacher,%8.0g,,
q67a,67. What does the teacher do if you give wrong answer to the question?  - Engli,%58.0g,,
q67b,67. What does the teacher do if you give wrong answer to the question?  - Maths,%58.0g,,
q67c,67. What does the teacher do if you give wrong answer to the question?  - Chich,%58.0g,,
q67_m1_aa,a.The teacher has to wait a long time for students to quiet down,%20.0g,,
q67_m1_ba,b.The teacher gives extra help when students need it,%20.0g,,
q67_m1_ca,c.The teacher explains things in different ways until I understand,%20.0g,,
q67_m1_da,d.The teacher tells me how I can improve my performance,%20.0g,,
q67_m1_ab,a.The teacher has to wait a long time for students to quiet down,%20.0g,,
q67_m1_bb,b.The teacher gives extra help when students need it,%20.0g,,
q67_m1_cb,c.The teacher explains things in different ways until I understand,%20.0g,,
q67_m1_db,d.The teacher tells me how I can improve my performance,%20.0g,,
q67_m1_ac,a.The teacher has to wait a long time for students to quiet down,%20.0g,,
q67_m1_bc,b.The teacher gives extra help when students need it,%20.0g,,
q67_m1_cc,c.The teacher explains things in different ways until I understand,%20.0g,,
q67_m1_dc,d.The teacher tells me how I can improve my performance,%20.0g,,
q70_m1,"70m1.Do you agree with this statement: 'If I had different teachers, I would try",%17.0g,,
q70_m2_a,a) Teachers said something insulting to me in front of others,%30.0g,,
q70_m2_b,b) Teachers called on me less often than they called on other students,%30.0g,,
q70_m2_c,c) I got called names by other students,%30.0g,,
q70_m2_d,d) Other students took away or destroyed things that belonged to me,%30.0g,,
a72,72. Which figure follows?  Fc 1,%8.0g,,
a73,73. Which figure follows?  Fc 2,%8.0g,,
a74,74. Which figure follows?  Fc 3,%8.0g,,
a75,75. Which figure follows?  Fc 4,%8.0g,,
a76,76. Which figure follows?  Fc 5,%8.0g,,
a77,77. Which figure follows?  Fc 6,%8.0g,,
sec5_comments,Interviewer comments for this section,%103s,,
activity_6am_7am,Activity (6am-7am),%26.0g,,
activity_6am_7am_spec,Specify activity,%88s,,
housework_6am_7am,Type of House Work (6am-7am),%30.0g,,
housework_6am_7am_spec,Specify Work,%39s,,
paidwork_6am_7am,Type of Paid Work (6am-7am),%25.0g,,
paidwork_6am_7am_spec,Specify Work,%9s,,
activity_7am_8am,Activity (7am_8am),%26.0g,,
activity_7am_8am_spec,Specify activity,%62s,,
housework_7am_8am,Type of House Work (7am_8am),%30.0g,,
housework_7am_8am_spec,Specify Work,%32s,,
paidwork_7am_8am,Type of Paid Work (7am_8am),%25.0g,,
paidwork_7am_8am_spec,Specify Work,%9s,,
activity_8am_9am,Activity (8am_9am),%26.0g,,
activity_8am_9am_spec,Specify activity,%127s,,
housework_8am_9am,Type of House Work (8am_9am),%30.0g,,
housework_8am_9am_spec,Specify Work,%9s,,
paidwork_8am_9am,Type of Paid Work (8am_9am),%25.0g,,
paidwork_8am_9am_spec,Specify Work,%9s,,
activity_9am_10am,Activity (9am_10am),%26.0g,,
activity_9am_10am_spec,Specify activity,%47s,,
housework_9am_10am,Type of House Work (9am_10am),%30.0g,,
housework_9am_10am_spec,Specify Work,%28s,,
paidwork_9am_10am,Type of Paid Work (9am_10am),%25.0g,,
paidwork_9am_10am_spec,Specify Work,%9s,,
activity_10am_11am,Activity (10am_11am),%26.0g,,
activity_10am_11am_spec,Specify activity,%36s,,
housework_10am_11am,Type of House Work (10am_11am),%30.0g,,
housework_10am_11am_spec,Specify Work,%9s,,
paidwork_10am_11am,Type of Paid Work (10am_11am),%25.0g,,
paidwork_10am_11am_spec,Specify Work,%9s,,
activity_11am_12pm,Activity (11am_12am),%26.0g,,
activity_11am_12pm_spec,Specify activity,%34s,,
housework_11am_12pm,Type of House Work (11am_12am),%30.0g,,
housework_11am_12pm_spec,Specify Work,%16s,,
paidwork_11am_12pm,Type of Paid Work (11am_12am),%25.0g,,
paidwork_11am_12pm_spec,Specify Work,%9s,,
activity_12pm_1pm,Activity (12Pm_1Pm),%26.0g,,
activity_12pm_1pm_spec,Specify activity,%37s,,
housework_12pm_1pm,Type of House Work (12Pm_1Pm),%30.0g,,
housework_12pm_1pm_spec,Specify Work,%17s,,
paidwork_12pm_1pm,Type of Paid Work (12Pm_1Pm),%25.0g,,
paidwork_12pm_1pm_spec,Specify Work,%9s,,
activity_1pm_2pm,Activity (1Pm_2Pm),%26.0g,,
activity_1pm_2pm_spec,Specify activity,%55s,,
housework_1pm_2pm,Type of House Work (1Pm_2Pm),%30.0g,,
housework_1pm_2pm_spec,Specify Work,%29s,,
paidwork_1pm_2pm,Type of Paid Work (1Pm_2Pm),%25.0g,,
paidwork_1pm_2pm_spec,Specify Work,%9s,,
activity_2pm_3pm,Activity (2Pm_3Pm),%26.0g,,
activity_2pm_3pm_spec,Specify activity,%101s,,
housework_2pm_3pm,Type of House Work (2Pm_3Pm),%30.0g,,
housework_2pm_3pm_spec,Specify Work,%36s,,
paidwork_2pm_3pm,Type of Paid Work (2Pm_3Pm),%25.0g,,
paidwork_2pm_3pm_spec,Specify Work,%32s,,
activity_3pm_4pm,Activity (3Pm_4Pm),%26.0g,,
activity_3pm_4pm_spec,Specify activity,%42s,,
housework_3pm_4pm,Type of House Work (3Pm_4Pm),%30.0g,,
housework_3pm_4pm_spec,Specify Work,%42s,,
paidwork_3pm_4pm,Type of Paid Work (3Pm_4Pm),%25.0g,,
paidwork_3pm_4pm_spec,Specify Work,%33s,,
activity_4pm_5pm,Activity (4Pm_5Pm),%26.0g,,
activity_4pm_5pm_spec,Specify activity,%45s,,
housework_4pm_5pm,Type of House Work (4Pm_5Pm),%30.0g,,
housework_4pm_5pm_spec,Specify Work,%33s,,
paidwork_4pm_5pm,Type of Paid Work (4Pm_5Pm),%25.0g,,
paidwork_4pm_5pm_spec,Specify Work,%107s,,
activity_5pm_6pm,Activity (5Pm_6Pm),%26.0g,,
activity_5pm_6pm_spec,Specify activity,%71s,,
housework_5pm_6pm,Type of House Work (5Pm_6Pm),%30.0g,,
housework_5pm_6pm_spec,Specify Work,%101s,,
paidwork_5pm_6pm,Type of Paid Work (5Pm_6Pm),%25.0g,,
paidwork_5pm_6pm_spec,Specify Work,%9s,,
activity_6pm_7pm,Activity (6Pm_7Pm),%26.0g,,
activity_6pm_7pm_spec,Specify activity,%39s,,
housework_6pm_7pm,Type of House Work (6Pm_7Pm),%30.0g,,
housework_6pm_7pm_spec,Specify Work,%66s,,
paidwork_6pm_7pm,Type of Paid Work (6Pm_7Pm),%25.0g,,
paidwork_6pm_7pm_spec,Specify Work,%9s,,
activity_7pm_8pm,Activity (7Pm_8m),%26.0g,,
activity_7pm_8m_spec,Specify activity,%36s,,
housework_7pm_8pm,Type of House Work (7Pm_8m),%30.0g,,
housework_7pm_8pm_spec,Specify Work,%22s,,
paidwork_7pm_8pm,Type of Paid Work (7Pm_8m),%25.0g,,
paidwork_7pm_8pm_spec,Specify Work,%9s,,
activity_8pm_9pm,Activity (8Pm_9Pm),%26.0g,,
activity_8pm_9pm_spec,Specify activity,%28s,,
housework_8pm_9pm,Type of House Work (8Pm_9Pm),%30.0g,,
housework_8pm_9pm_spec,Specify Work,%9s,,
paidwork_8pm_9pm,Type of Paid Work (8Pm_9Pm),%25.0g,,
paidwork_8pm_9pm_spec,Specify Work,%9s,,
activity_9pm_10pm,Activity (9Pm_10Pm),%26.0g,,
activity_9pm_10pm_spec,Specify activity,%35s,,
housework_9pm_10pm,Type of House Work (9Pm_10Pm),%30.0g,,
housework_9pm_10pm_spec,Specify Work,%9s,,
paidwork_9pm_10pm,Type of Paid Work (9Pm_10Pm),%25.0g,,
paidwork_9pm_10pm_spec,Specify Work,%9s,,
sec6_comments,INTERVIEWER COMMENTS,%276s,,
visit4,Is this still your first Visit ?,%20.0g,,
enum_second_visit2,Enumerator on second Visit,%9s,,
time_second_visit2,,%8.0g,,
refusal_reason,Reasons of refusal,%9s,,
supervisor_name,Select the name of the supervisor who accompanied you.,%24s,,
time_review,Time,%9.0g,,
review_result,Review Result,%24.0g,,
incomplete_reason,Reason to why the questionnaire is incomplete,%9s,,
formdef_version,Form version used on device,%12.0g,,
key,Unique submission ID,%41s,,
column1,Column1,%16s,,
submissiondate,Date/time submitted,%tc,,
start,,%tc,,
date_first_visit,Date of Interview,%td,,
date_sec_visit1,Date of Interview,%td,,
date_sec_visit2,Date of Interview,%td,,
date_review,Date,%td,,
BL16,,%8.0g,,
qnum,questionnaire number,%8.0g,,
q4,4. date [first unannounced visit],%10s,,
q5,5. enumerator's name & code [second unannounced visit if applicable],%8.0g,,
q6,6. date [second unannounced visit if applicable],%10s,,
q8,8. at what time did you end the survey? (24 hts format) first visit,%6s,,
q9,9. at what time did you start the survey? (24 hts format) second visit,%6s,,
q10,10. at what time did you end the survey? (24 hts format) second visit,%6s,,
q11a1,a. supervisor,%8.0g,,
q11a2,name and signature,%8.0g,,
q11a3,date,%10s,,
q11a4,reason,%9s,,
q11b1,a. supervisor,%8.0g,,
q11b2,name and signature,%8.0g,,
q11b3,date,%10s,,
q11b4,reason,%1s,,
q11c1,c. data entry clerk 2,%8.0g,,
q11c2,name and signature,%1s,,
q11c3,date,%10s,,
q11c4,reason,%1s,,
q11d1,d. m&e supervisor (manager),%8.0g,,
q11d2,name and signature,%8.0g,,
q11d3,date,%10s,,
q11d4,reason,%1s,,
int_start,may i now beging the interview,%8.0g,,
A2,new student code,%10s,,
a7_spec,Q1.7. Which language (s) do you usually speak at home?  (Other (Specify)) [Other,%27s,,
a17,17. are there any brothers/sisters older than you?,%8.0g,,
a18c,18. how do you come to school from your home? do you?,%21.0g,,
a18_spec,other specify,%1s,,
a19,19. at what time do you leave for school in the morning?,%9.0g,,
a20,20. at what time do you get to school?,%9.0g,,
a32e,32. does your family have e) fridge,%8.0g,,
a32j,32. does your family have j) car/van/taxi/bus,%8.0g,,
a32m,32. does your family have m) sheep,%8.0g,,
a37a,37. Which subjects do you study at school? Do you study�  (a. English),%8.0g,,
a37b,37. Which subjects do you study at school? Do you study�  (b. Math),%8.0g,,
a37c,37. Which subjects do you study at school? Do you study�  (c. Chichewa),%8.0g,,
a37d,37. Which subjects do you study at school? Do you study�  (d. Science),%8.0g,,
a37e,37. Which subjects do you study at school? Do you study�  (e. Social Studies),%8.0g,,
a37f,37. Which subjects do you study at school? Do you study�  (f. Religious Studies,%8.0g,,
a37g,37. Which subjects do you study at school? Do you study�  (g. Life Skills),%8.0g,,
a37h,37. Which subjects do you study at school? Do you study�  (h. Expressive Arts),%8.0g,,
a37i,37. Which subjects do you study at school? Do you study�  (i. Agriculture),%8.0g,,
a37j,37. which subjects do you study at school. do you study.... j. other,%8.0g,,
a37_spec,specify,%20s,,
a47,"47. do you have learning materials (pens, pencils, notebooks)",%8.0g,,
q62a,62. do you like your english teacher?,%8.0g,,
q62b,62. do you like your math teacher?,%8.0g,,
q62c,62. do you like your chichewa teacher?,%8.0g,,
q63a,63. does english teacher provide you with examples if you do not understand the,%8.0g,,
q63b,63. does math teacher provide you with examples if you do not understand the les,%8.0g,,
q63c,63. does chichewa teacher provide you with examples if you do not understand the,%8.0g,,
q64a,64. does the english teacher help you if you have any difficulty in the lesson?,%8.0g,,
q64b,64. does the math teacher help you if you have any difficulty in the lesson?,%8.0g,,
q64c,64. does the chichewa teacher help you if you have any difficulty in the lesson?,%8.0g,,
source,,%8.0g,,
A2_STRING,school_id_a34,%9s,,
base,,%9.0g,,
stu_age_square,square of student age,%9.0g,,
travel_time,"On a typical day, how long does it take for you to get to school from home?",%9.0g,,
live_with_no_parent,live with neither mom nor dad,%9.0g,TRUE,
mom_literate,mom literate (y or n),%9.0g,TRUE,
dad_literate,dad literate (y or n),%9.0g,TRUE,
perm_room,"Permanent structure (mostly the house is made of concrete, brick, mud etc.) y or",%9.0g,,
SES_10th,10th percentile of asset index,%9.0g,,
SES_20th,20th percentile of asset index,%9.0g,,
SES_40th,40th percentile of asset index,%9.0g,,
SES_40th_sch,"40th percentile of asset index, by school",%9.0g,,
SES_60th,60th percentile of asset index,%9.0g,,
SES_75th,75th percentile of asset index,%9.0g,,
a_72,Correct answer for Which figure follows in FLASHCARD 1? Y or N,%9.0g,,
a_73,Correct answer for Which figure follows in FLASHCARD 2? Y or N,%9.0g,,
a_74,Correct answer for Which figure follows in FLASHCARD 3? Y or N,%9.0g,,
a_75,Correct answer for Which figure follows in FLASHCARD 4? Y or N,%9.0g,,
a_76,Correct answer for Which figure follows in FLASHCARD 5? Y or N,%9.0g,,
a_77,Correct answer for Which figure follows in FLASHCARD 6? Y or N,%9.0g,,
get_hw_yes,"student got English, Math or Chichewa homework last week (y or n)",%9.0g,,
stu_verb_abuse,Student was recently called names,%9.0g,,
stu_oth_abuse,Student recently had things taken away or destroyed,%9.0g,,
qq1,QQ number,%8.0g,,
class_id,Class ID:,%8.0g,,
enumerator_name,Enumerator name & Code,%50s,,
start_time_hours,Start Time(hours),%8.0g,,
start_time_min,Start Time(Min),%8.0g,,
end_time_hours,End Time(hours),%8.0g,,
end_time_min,End Time(Min),%8.0g,,
studnet_full_name,Studnet Full Name,%9s,,
gender,Gender:,%1s,,
standard,Standard,%8.0g,,
stream,Stream:,%3s,,
e21a,7a)    Write sentences using the following words___ ; WATER ;,%41s,,
e21b,7b)    Write sentences using the following words___ ; EAT ;,%40s,,
studentid1,Student ID1,%8.0g,,
entry1_id,1st Data entry (ID),%18.0g,,
dd1,Day [1st Data Entry],%8.0g,,
yr1,Year [1st Data Entry],%8.0g,,
entry2_id,2nd Data entry (ID),%18.0g,,
